"year","snowfall"
1910,126.4
1911,82.4
1912,78.1
1913,51.1
1914,90.9
1915,76.2
1916,104.5
1917,87.4
1918,110.5
1919,25
1920,69.3
1921,53.5
1922,39.8
1923,63.6
1924,46.7
1925,72.9
1926,79.7
1927,83.6
1928,80.7
1929,60.3
1930,79
1931,74.4
1932,49.6
1933,54.7
1934,71.8
1935,49.1
1936,103.9
1937,51.6
1938,82.4
1939,83.6
1940,77.8
1941,79.3
1942,89.6
1943,85.5
1944,58
1945,120.7
1946,110.5
1947,65.4
1948,39.9
1949,40.1
1950,88.7
1951,71.4
1952,83
1953,55.9
1954,89.9
1955,84.8
1956,105.2
1957,113.7
1958,124.7
1959,114.5
1960,115.6
1961,102.4
1962,101.4
1963,89.8
1964,71.5
1965,70.9
1966,98.3
1967,55.5
1968,66.1
1969,78.4
1970,120.5
1971,97
1972,109.9
1973,78.8
1974,88.7
1975,95.6
1976,82.5
1977,199.4
1978,154.3
1979,97.3
1980,68.4
1981,60.9
1982,112.4
1983,52.4
1984,132.5
1985,107.2
1986,114.7
1987,67.5
1988,56.4
1989,67.4
1990,93.7
1991,57.5
1992,92.8
1993,93.2
1994,112.7
1995,74.6
1996,141.4
1997,97.6
1998,75.6
1999,100.5
2000,63.6
2001,158.7
2002,132.4
2003,111.3
2004,100.9
2005,109.1
2006,78.2
2007,88.9
2008,103.8
2009,100.2
2010,74.1
2011,111.8
2012,36.7
2013,58.8
2014,129.9
2015,112.9
2016,55.1
2017,76.1
2018,112.3
